argo;argo;AcceptedEntity;472930;
argo;argo;AcceptedRelations;3683653;
argo;argo;RejectedEntity;0;
argo;argo;RejectedRelations;0;
argo;calypso;AcceptedEntity;383128;
argo;calypso;AcceptedRelations;3325803;
argo;calypso;RejectedEntity;89802;
argo;calypso;RejectedRelations;357850;
argo;epaie;AcceptedEntity;436062;
argo;epaie;AcceptedRelations;3449564;
argo;epaie;RejectedEntity;36868;
argo;epaie;RejectedRelations;234089;
argo;moose;AcceptedEntity;383128;
argo;moose;AcceptedRelations;3325806;
argo;moose;RejectedEntity;89802;
argo;moose;RejectedRelations;357847;
argo;northwind;AcceptedEntity;433967;
argo;northwind;AcceptedRelations;3455103;
argo;northwind;RejectedEntity;38963;
argo;northwind;RejectedRelations;228550;
argo;petstore;AcceptedEntity;468916;
argo;petstore;AcceptedRelations;3654924;
argo;petstore;RejectedEntity;4014;
argo;petstore;RejectedRelations;28729;
calypso;argo;AcceptedEntity;79535;
calypso;argo;AcceptedRelations;684543;
calypso;argo;RejectedEntity;11410;
calypso;argo;RejectedRelations;49629;
calypso;calypso;AcceptedEntity;90945;
calypso;calypso;AcceptedRelations;734172;
calypso;calypso;RejectedEntity;0;
calypso;calypso;RejectedRelations;0;
calypso;epaie;AcceptedEntity;79187;
calypso;epaie;AcceptedRelations;676781;
calypso;epaie;RejectedEntity;11758;
calypso;epaie;RejectedRelations;57391;
calypso;moose;AcceptedEntity;90945;
calypso;moose;AcceptedRelations;734172;
calypso;moose;RejectedEntity;0;
calypso;moose;RejectedRelations;0;
calypso;northwind;AcceptedEntity;79155;
calypso;northwind;AcceptedRelations;675541;
calypso;northwind;RejectedEntity;11790;
calypso;northwind;RejectedRelations;58631;
calypso;petstore;AcceptedEntity;79271;
calypso;petstore;AcceptedRelations;680514;
calypso;petstore;RejectedEntity;11674;
calypso;petstore;RejectedRelations;53658;
epaie;argo;AcceptedEntity;1678597;
epaie;argo;AcceptedRelations;12958977;
epaie;argo;RejectedEntity;228710;
epaie;argo;RejectedRelations;893163;
epaie;calypso;AcceptedEntity;1327509;
epaie;calypso;AcceptedRelations;12118083;
epaie;calypso;RejectedEntity;579798;
epaie;calypso;RejectedRelations;1734057;
epaie;epaie;AcceptedEntity;1907307;
epaie;epaie;AcceptedRelations;13852140;
epaie;epaie;RejectedEntity;0;
epaie;epaie;RejectedRelations;0;
epaie;moose;AcceptedEntity;1327509;
