argo;northwind;MOConditionalExpression;202;
argo;northwind;MODoWhile;11;
argo;northwind;MOVariableArgumentsParameter;3;
argo;northwind;MOJavaClass;2042;
argo;northwind;MOStatementDeclaration;3;
argo;northwind;MOLabelWithStatement;5;
argo;northwind;MOConstructor;1871;
argo;northwind;MOStaticInitializer;37;
argo;northwind;MOPackageReference;238;
argo;northwind;MOCastExpression;4235;
argo;northwind;MOForEach;1127;
argo;northwind;MOImport;17236;
argo;northwind;MOBreak;150;
argo;northwind;MOParametrizableClassType;2;
argo;northwind;MOArrayLiteral;164;
argo;northwind;MOAssertionStatement;133;
argo;northwind;MOParametrizableMethod;4;
argo;northwind;MOThrow;2112;
argo;northwind;MOJavaClassType;184;
argo;petstore;MOReturnEmpty;849;
argo;petstore;MOSynchronizedBlock;106;
argo;petstore;MOEnumEntry;25;
argo;petstore;name;petstore;
argo;petstore;MOParametrizableClass;7;
argo;petstore;MOParametrizableClassType;2;
argo;petstore;MOFloatLiteral;119;
argo;petstore;MOBreak;150;
argo;petstore;MOQualifiedTypeReference;2;
argo;petstore;MOArrayLiteral;164;
argo;petstore;MOParametrizableMethod;4;
argo;petstore;MOConstructorInvocation;1335;
argo;petstore;MOConditionalExpression;202;
argo;petstore;MOContinue;176;
argo;petstore;MOTypeParameter;13;
argo;petstore;MOAssertionStatement;133;
argo;petstore;MOJavaEnum;5;
argo;petstore;MOFor;423;
argo;petstore;MOVariableArgumentsParameter;3;
argo;petstore;MOCharacterLiteral;211;
argo;petstore;MODoWhile;11;
argo;petstore;MOLabelWithStatement;5;
argo;petstore;MOSwitch;66;
argo;petstore;MOStatementDeclaration;3;
calypso;argo;MOStPragma;224;
calypso;argo;name;argo;
calypso;argo;MOMetaClass;762;
calypso;argo;MOStClass;762;
calypso;argo;MOStBlockClosure;2716;
calypso;argo;MOStMethod;5797;
calypso;argo;MOPharo;1;
calypso;argo;MOSharedVariable;10;
calypso;argo;MOStArrayExpression;419;
calypso;argo;MOStCascade;195;
calypso;argo;MOSuperReference;524;
calypso;calypso;name;calypso;
calypso;epaie;MOArrayLiteral;152;
calypso;epaie;MOStPragma;224;
calypso;epaie;MOPackage;58;
calypso;epaie;MOPackageReference;58;
calypso;epaie;name;epaie;
calypso;epaie;MOMetaClass;762;
calypso;epaie;MOStClass;762;
calypso;epaie;MOCharacterLiteral;80;
calypso;epaie;MOStBlockClosure;2716;
calypso;epaie;MOStMethod;5797;
calypso;epaie;MOPharo;1;
calypso;epaie;MOSharedVariable;10;
calypso;epaie;MOStArrayExpression;419;
calypso;epaie;MOStCascade;195;
calypso;epaie;MOSuperReference;524;
calypso;moose;name;moose;
calypso;northwind;MOArrayLiteral;152;
calypso;northwind;MOStPragma;224;
calypso;northwind;MOPackage;58;
calypso;northwind;MOPackageReference;58;
calypso;northwind;name;northwind;
calypso;northwind;MOMetaClass;762;
calypso;northwind;MOStClass;762;
calypso;northwind;MOCharacterLiteral;80;
calypso;northwind;MOStBlockClosure;2716;
calypso;northwind;MOStMethod;5797;
calypso;northwind;MOPharo;1;
calypso;northwind;MOFloatLiteral;32;
calypso;northwind;MOStArrayExpression;419;
calypso;northwind;MOSharedVariable;10;
calypso;northwind;MOStCascade;195;
calypso;northwind;MOSuperReference;524;
calypso;petstore;MOArrayLiteral;152;
calypso;petstore;MOStPragma;224;
calypso;petstore;name;petstore;
calypso;petstore;MOMetaClass;762;
calypso;petstore;MOStClass;762;
calypso;petstore;MOCharacterLiteral;80;
calypso;petstore;MOStBlockClosure;2716;
calypso;petstore;MOStMethod;5797;
calypso;petstore;MOPharo;1;
calypso;petstore;MOFloatLiteral;32;
calypso;petstore;MOStArrayExpression;419;
calypso;petstore;MOSharedVariable;10;
calypso;petstore;MOStCascade;195;
calypso;petstore;MOSuperReference;524;
epaie;argo;MOAlceRedimVariable;293;
epaie;argo;MOConstantAttribute;1021;
epaie;argo;MOAlceFileRename;1;
epaie;argo;MOInfinityLoop;1;
epaie;argo;MODoUntil;93;
epaie;argo;MOArtefactReference;42;
epaie;argo;MOProject;18;
epaie;argo;MOGlobalVariable;1586;
epaie;argo;MOFunction;2709;
epaie;argo;MOAlceExit;18983;
epaie;argo;MOEvent;19;
epaie;argo;MOLibrary;13;
epaie;argo;MOAlceResumeLabel;7628;
epaie;argo;name;argo;
epaie;argo;MOExternalFunction;99;
epaie;argo;MOFileDescriptorLiteral;83;
epaie;argo;MOCase;4271;
epaie;argo;MOClassFunction;23527;
epaie;argo;MOAttributeAccessor;15938;
epaie;argo;MOClassProcedure;14639;
epaie;argo;MOGoToLabel;3318;
epaie;argo;MOSelect;981;
epaie;argo;MOAlceOnErrorGoToLabel;16252;
epaie;argo;MOAlceReport;531;
epaie;argo;MOAlceForm;1147;
epaie;argo;MOAlceFilePrintInto;1;
epaie;argo;MOQueryAttribute;4144;
epaie;argo;MOAlceFileOpen;112;
epaie;argo;MOAlceResume;7052;
epaie;argo;MOGlobalConstant;946;
epaie;argo;MOAlceGoSubLabel;190;
epaie;argo;MOAlias;285;
epaie;argo;MOConstantReference;39644;
epaie;argo;MOVariableAccessor;40;
epaie;argo;MOAlceTable;2303;
epaie;argo;MOSetToReturn;6179;
epaie;argo;MOProcedure;743;
epaie;argo;MOExternalProcedure;8;
epaie;argo;MOEnum;581;
epaie;argo;MOAlceWith;271;
epaie;argo;MOModule;426;
epaie;argo;MOLocalConstant;155;
epaie;argo;MOLabelReference;49329;
epaie;argo;MOColorLiteral;86;
epaie;argo;MONoOp;905;
epaie;argo;MODateLiteral;31;
epaie;argo;MOAlceOnErrorResumeNext;138;
epaie;argo;MOArtefactTypeReference;270;
epaie;argo;MOAccess;1;
epaie;argo;MOAlceQuery;1285;
epaie;argo;MOForNext;341;
epaie;argo;MOStructure;40;
epaie;argo;MOAlceFileLineInput;11;
epaie;calypso;MOAlceRedimVariable;293;
epaie;calypso;MOConstantAttribute;1021;
epaie;calypso;MOWhile;890;
epaie;calypso;MOAlceFileRename;1;
epaie;calypso;MOInfinityLoop;1;
epaie;calypso;MODoUntil;93;
epaie;calypso;MOArtefactReference;42;
epaie;calypso;MOPrimitiveType;41;
epaie;calypso;MOProject;18;
epaie;calypso;MOFunction;2709;
epaie;calypso;MOAlceExit;18983;
epaie;calypso;MOEvent;19;
epaie;calypso;MOLibrary;13;
epaie;calypso;MOArrayAccess;45112;
epaie;calypso;MOAlceResumeLabel;7628;
epaie;calypso;name;calypso;
epaie;calypso;MOExternalFunction;99;
epaie;calypso;MOFileDescriptorLiteral;83;
epaie;calypso;MOCase;4271;
epaie;calypso;MOAttributeAccessor;15938;
epaie;calypso;MOClassProcedure;14639;
epaie;calypso;MOAttributeAccess;102762;
epaie;calypso;MOGoToLabel;3318;
epaie;calypso;MOPrimitiveTypeReference;30;
epaie;calypso;MONewInvocation;694;
epaie;calypso;MOSelect;981;
epaie;calypso;MOAlceOnErrorGoToLabel;16252;
epaie;calypso;MOUnaryArithmeticOperation;10697;
epaie;calypso;MOBinaryArithmeticOperation;152716;
epaie;calypso;MOEnumEntry;5705;
epaie;calypso;MOClassFunction;23527;
epaie;calypso;MOReturnEmpty;96;
epaie;calypso;MOAlceReport;531;
epaie;calypso;MOAlceForm;1147;
epaie;calypso;MOQueryAttribute;4144;
epaie;calypso;MOAlceFileOpen;112;
epaie;calypso;MOAlceFilePrintInto;1;
epaie;calypso;MOAlceResume;7052;
epaie;calypso;MOGlobalConstant;946;
epaie;calypso;MOAlceGoSubLabel;190;
epaie;calypso;MOIfElse;27263;
epaie;calypso;MOConstantReference;39644;
epaie;calypso;MOAlias;285;
epaie;calypso;MOVariableAccessor;40;
epaie;calypso;MOAlceTable;2303;
epaie;calypso;MOSetToReturn;6179;
epaie;calypso;MOProcedure;743;
epaie;calypso;MOExternalProcedure;8;
epaie;calypso;MOEnum;581;
epaie;calypso;MOModule;426;
epaie;calypso;MOAlceWith;271;
epaie;calypso;MOLocalConstant;155;
epaie;calypso;MOForEach;136;
epaie;calypso;MONoOp;905;
epaie;calypso;MOLabelReference;49329;
epaie;calypso;MOColorLiteral;86;
epaie;calypso;MODateLiteral;31;
epaie;calypso;MOAlceOnErrorResumeNext;138;
epaie;calypso;MODeclarationUnit;6532;
epaie;calypso;MOAccess;1;
